Iterations,MAE,RMSE,MAPE,MSE,input_window_size,horizon,stride
0,48.480943407331196,59.36950776998266,,3524.7384528500315,90,35,10
10,59.68048607962472,66.5729610277203,,4431.959139998366,90,35,10
20,23.03960015433175,30.553177964023334,,933.496683701281,90,35,10
30,56.179657091413226,63.50973721647343,,4033.486721305511,90,35,10
40,35.59688557216099,46.21925470265673,,2136.219505269056,90,35,10
50,50.100771113804406,58.7884210720277,,3456.0784521420305,90,35,10
60,53.96945724487305,61.42657860419882,,3773.2245590178163,90,35,10
70,30.06094284057617,40.54603057548898,,1643.980595428487,90,35,10
80,62.34680012294224,68.39470776251086,inf,4677.836049919263,90,35,10
90,26.22451444353376,33.253368019800746,,1105.7864846603068,90,35,10
100,64.74208602905273,70.6514842399472,inf,4991.632225307506,90,35,10
110,41.64088625226702,51.470380504539094,,2649.200069282038,90,35,10
120,57.773628561837334,64.81892093461872,,4201.492511128352,90,35,10
130,57.593713923863,64.67673022489844,,4183.079432584292,90,35,10
140,43.08779961722238,52.655950891206025,,2772.649164257101,90,35,10
150,64.54928534371513,70.17070580970112,inf,4923.927953831623,90,35,10
160,28.061113956996373,35.356963737312476,,1250.1148847216296,90,35,10
170,66.61051450456891,71.87740738971627,inf,5166.361693067239,90,35,10
180,44.893343571254185,54.637626700713454,,2985.270251486516,90,35,10
190,70.31448593139649,75.36850274330811,inf,5680.411205768043,90,35,10
200,70.362829044887,76.93273184328037,,5918.645228870085,90,35,10
210,55.24094336373465,64.65065514065857,,4179.707210116363,90,35,10
220,80.7678572518485,85.84087547792527,inf,7368.655902816671,90,35,10
230,44.9777715410505,54.37751546176348,,2956.9141877943266,90,35,10
240,80.16680025373186,86.43668727163852,,7471.3009064950365,90,35,10
250,62.619085802350725,72.57270518144409,,5266.797537352802,90,35,10
260,82.01162905011859,88.33886771711624,,7803.755549542162,90,35,10
270,83.74000080653599,90.20764728067813,,8137.419627915237,90,35,10
280,69.47065832955496,79.2168696760222,,6275.312441267886,90,35,10
