Iterations,MAE,RMSE,MAPE,MSE,input_window_size,horizon,stride
0,87.09264945983887,92.43684233415054,inf,8544.569820708606,30,30,10
10,44.24361661275228,53.28120371042039,,2838.886668831316,30,30,10
20,79.33565101623535,84.8213794680476,inf,7194.666414862526,30,30,10
30,55.22881685892741,64.2057848870773,,4122.382812965644,30,30,10
40,73.38764991760254,78.8729877118144,inf,6220.948190588027,30,30,10
50,69.43624966939291,75.39273573415353,,5684.064601479911,30,30,10
60,48.870517349243165,59.64000226703577,,3556.9298704120315,30,30,10
70,64.20381711324056,69.44740580808269,inf,4822.942173472518,30,30,10
80,24.541450119018556,32.15663420157028,,1034.0491231735994,30,30,10
90,55.82384986877442,62.896313738186436,,3955.94628185238,30,30,10
100,35.38594983418783,45.54137743546529,,2074.017058719507,30,30,10
110,50.36898307800293,58.711419031082904,,3447.030724643404,30,30,10
120,52.73595008850098,59.87686235258646,,3585.238645190585,30,30,10
130,27.618183517456053,37.160868331244124,,1380.9301351320623,30,30,10
140,62.250183232625325,67.52920854815757,inf,4560.194007140557,30,30,10
150,27.765516789754233,34.781352769967754,,1209.7425005089437,30,30,10
160,63.60951703389485,69.74982492760036,inf,4865.038077430901,30,30,10
170,41.65761731465658,50.972578665599734,,2598.2037758207534,30,30,10
180,55.56898358662923,62.94221875659497,,3961.7229020030554,30,30,10
190,56.37091636657715,63.37627362276252,,4016.5520583072644,30,30,10
200,42.19751625061035,51.35317364103181,,2637.148443005964,30,30,10
210,65.49641609191895,70.54931638010497,inf,4977.206041700148,30,30,10
220,29.188549677530926,36.5018867026219,,1332.387732851046,30,30,10
230,66.31785011291504,71.27089273057302,inf,5079.540150612846,30,30,10
240,43.671150588989256,52.9736407415799,,2806.2066134179736,30,30,10
250,68.09198366800943,73.07295152668894,inf,5339.656244821832,30,30,10
260,68.16455039978027,74.53903680332586,,5556.068007567567,30,30,10
270,54.142517217000325,62.97676408078755,,3966.0728140871724,30,30,10
280,79.60941683451334,84.46398389694625,inf,7134.164575743594,30,30,10
290,46.54131660461426,55.65660295682756,,3097.6574526939467,30,30,10
300,78.54418347676595,84.78960970653347,,7189.277914186276,30,30,10
310,62.26151644388835,71.8452640866054,,5161.741971674071,30,30,10
320,80.17765057881674,86.51201072754344,,7484.32800012259,30,30,10
330,81.58791720072428,87.98840560090885,,7741.9595201900465,30,30,10
340,69.89418500264486,79.19018074747231,,6271.084726817334,30,30,10
350,88.1841505686442,93.3384268783622,inf,8712.061932127366,30,30,10
